"V1" "V2" "V3"
"53" 103.149735028845 106.849134209595 3
"54" 106.105853307456 117.863058838627 3
"55" 104.029795138564 111.144772078716 3
"56" 107.387302296468 112.914606304358 3
"57" 99.5860065552684 108.360667612088 3
"58" 107.328614780819 113.172716576239 3
"59" 103.198442710475 120.422338357578 3
"60" 103.048677663318 112.728589042871 3
"61" 101.175746192006 107.475901661979 3
"62" 104.273934459153 111.918772847963 3
"63" 106.823457624989 114.501719961434 3
"64" 107.68475633697 115.277694991482 3
"65" 107.361863350267 113.317703565792 3
"66" 107.708400020354 112.273290928885 3
"67" 105.64424124234 114.880306572712 3
"68" 103.543385510995 112.630644994515 3
"69" 104.205789593712 114.286910471254 3
"70" 106.01220981296 114.530959500659 3
"71" 103.974518284948 114.64973191872 3
"72" 100.712889850295 120.193822757341 3
"73" 106.552414504669 110.943000697916 3
"74" 107.254969884261 114.283697984777 3
"75" 104.836620051885 115.785434088583 3
"76" 106.968125564093 104.410826446288 3
"77" 104.702068315355 117.329074489778 3
"78" 100.357242124498 119.726248590982 3
"79" 103.547098561955 111.940290071929 3
"80" 105.636980442914 112.474971809636 3
"81" 104.59837207536 112.097298631515 3
"82" 100.965406313161 119.648815182565 3
"83" 101.791374726415 117.152993467453 3
"84" 107.203350875168 112.084310057606 3
"85" 100.137122930791 116.401774158737 3
"86" 102.949413981075 109.654582396056 3
"87" 101.768905047386 108.021427319833 3
"88" 106.618272076529 109.127721582159 3
"89" 104.354053816193 111.769872495196 3
"90" 103.540503707375 116.717306237582 3
"91" 103.768826006735 107.757680955985 3
"92" 101.383637961422 115.289323643768 3
"93" 102.211636488647 118.048842952415 3
"94" 104.741109109394 116.105712501407 3
"95" 103.701393840284 111.972629424845 3
"96" 102.062636914923 114.787267964926 3
"97" 108.050131436104 118.824179755707 3
"98" 102.439717198597 116.640583854145 3
"99" 104.978622602552 118.673852240754 3
"100" 103.46669412469 112.424111910904 3
"101" 104.634132132974 113.510260737255 3
"102" 103.415970753045 118.71915438513 3
"103" 145.201335616192 132.656384333186 4
"104" 151.105657615991 132.027511287656 4
"105" 100.105469809121 111.599004430682 4
"106" 104.387809057622 118.62136820504 4
"107" 101.007130442278 111.961952941689 4
"108" 103.866618582619 117.240358748306 4
"109" 107.491298277636 113.850292451499 4
"110" 103.386559518645 115.16243811449 4
"111" 104.418359053306 113.377191994509 4
"112" 105.212250718171 112.276786441665 4
"113" 105.922351407121 118.142371573724 4
"114" 105.62796464416 114.77286954362 4
"115" 104.405570328994 115.721831528868 4
"116" 106.996252664378 114.398631826121 4
"117" 99.2808610910044 118.813967377915 4
"118" 104.006183645521 111.804868896892 4
"119" 106.064530736985 117.430639655415 4
"120" 104.87220633308 115.28418811731 4
"121" 103.035715995543 112.080791020323 4
"122" 101.093930870509 107.671008845747 4
"123" 104.603411389403 115.174657383896 4
"124" 102.924909487148 109.814426555062 4
"125" 101.917763007904 116.81483017331 4
"126" 107.238434238593 113.103595390267 4
"127" 104.952504600458 114.705074445287 4
"128" 103.687088521574 120.730672216831 4
"129" 105.662781250732 112.192055713028 4
"130" 104.271183125228 116.764202658321 4
"131" 109.704427746257 115.325119396311 4
"132" 103.837360843411 117.693288457225 4
"133" 105.198861482123 113.624060012477 4
"134" 106.140312390201 117.669051372699 4
"135" 102.769036264253 116.776256957881 4
"136" 101.869553474931 111.836063307672 4
"137" 104.287193687729 114.821196186791 4
"138" 101.117690348148 116.039840494492 4
"139" 104.969387640757 120.410751304556 4
