"V1" "V2" "V3"
"93" 109.023765388546 119.120719093961 5
"94" 109.392683869466 117.070382350029 5
"95" 103.166279003447 113.131337396628 5
"96" 103.496821815696 114.816135530869 5
"97" 107.165145630437 117.03576810398 5
"98" 110.1557434233 116.239044471871 5
"99" 108.878598249624 118.011791601773 5
"100" 107.007016130177 120.539522015209 5
"101" 107.904276364952 117.229789083797 5
"102" 107.686075632408 115.424853984065 5
"103" 107.081547079676 117.260846572192 5
"104" 108.756087732254 112.731393728956 5
"105" 107.978328659258 115.28536663455 5
"106" 109.518349248974 115.675162320156 5
"107" 109.698455574867 111.917967747198 5
"108" 106.890188506815 117.035469641382 5
"109" 109.237032542085 117.625833764117 5
"110" 107.829027112117 115.42865627607 5
"111" 109.123936887119 121.209552027362 5
"112" 109.272994735626 117.712997114149 5
"113" 109.077588815792 113.138833573407 5
"114" 111.19861157332 116.355331029267 5
"115" 103.610945517299 115.7978205437 5
"116" 105.801510425512 114.126344639107 5
"117" 113.595766694274 115.847094997446 5
"118" 107.661844592782 115.615778012178 5
"119" 103.79248141125 114.002636263788 5
"120" 55.4856932233841 128.493439633956 5
"121" 107.864635800775 114.756736053148 5
"122" 108.369543299486 121.180332922233 5
"123" 110.081443668314 111.855377131345 5
"124" 103.354701286079 119.546813852971 5
"125" 103.652991991431 118.46130377295 6
"126" 109.389549230815 118.270504037184 6
"127" 113.053681539795 114.460792716274 6
"128" 104.125465336741 113.115096582615 6
"129" 105.395990905957 114.469678657727 6
"130" 103.217828359117 114.619769655759 6
"131" 108.423971461554 119.157544187175 6
"132" 109.140684231741 113.602415907003 6
"133" 105.247341206291 115.607952796096 6
"134" 103.644393240692 114.653314094797 6
"135" 107.668248101857 120.988478041491 6
"136" 109.140699164788 114.323300417258 6
"137" 110.589144350738 121.086357456244 6
"138" 109.44696606488 117.160516761511 6
"139" 108.512193943155 114.048161689295 6
"140" 109.832720644041 116.621688930867 6
"141" 109.558084861502 115.664958178288 6
"142" 109.344648434488 112.738711217374 6
"143" 108.608629948544 112.780919173554 6
"144" 108.663742651784 115.749998851442 6
"145" 107.438245833997 112.776389527544 6
"146" 110.837275760982 116.662316618727 6
"147" 111.494939257235 116.367946695604 6
"148" 110.956356825011 116.250401215851 6
"149" 107.942153327867 112.332408889319 6
"150" 110.921269737304 114.411716800906 6
"151" 113.084230704279 114.48922839797 6
"152" 105.777473004332 117.315624279119 6
"153" 108.632096156426 117.545412902414 6
"154" 109.390994214353 117.723627668718 6
"155" 110.914349779006 117.300897369592 6
"156" 109.910095859882 112.333247589325 6
"157" 113.978148310489 120.438112129971 6
"158" 103.542595768739 116.093876277694 6
"159" 110.922682496208 114.316675326474 6
"160" 104.815229907794 117.374002438132 6
"161" 105.339955312668 113.377145041266 6
"162" 109.142707336628 118.166678893428 6
"163" 109.989811254557 116.802064725454 6
"164" 108.364850923283 120.806841477808 6
"165" 110.448740242577 117.406734158843 6
"166" 109.432384788863 118.056028606326 6
"167" 118.032252994357 118.156574149569 6
"168" 108.163234471811 117.162582976845 6
"169" 109.760750233798 114.410496433005 6
"170" 113.151020312115 115.654696782775 6
"171" 106.418692297201 121.657308766372 6
"172" 105.217490115843 115.690621361512 6
"173" 110.634430975762 114.388123777745 6
"174" 108.126794709455 114.921305470359 6
"175" 109.733613712752 114.415127934337 6
"176" 114.688086168768 116.033424148132 6
"177" 108.588848364343 113.973250742554 6
"178" 113.823535484732 114.576487868012 6
"179" 56.0689534275132 128.172990520825 6
"180" 55.9029774022051 129.310266975129 6
"181" 55.6713230881099 127.247204542306 6
"182" 56.2723901509709 129.005635076977 6
"183" 113.69623540468 125.833214208923 6
"184" 119.05096838074 126.111157540634 6
"185" 112.681462873937 123.649431315757 6
"186" 111.224131925677 115.762114272001 6
"187" 108.782316749816 110.839850369365 6
"188" 108.458510816696 111.610506358106 7
"189" 110.627364084554 113.813652564768 7
"190" 107.81512202375 111.744834089386 7
"191" 109.04390207345 116.27877642114 7
"192" 111.033446825559 105.265676595251 7
"193" 105.818199617279 111.13811147521 7
"194" 105.791362662347 115.499063650056 7
"195" 108.299302961546 109.812785523848 7
"196" 110.265984821611 119.70932684963 7
"197" 110.759711441796 116.1615949282 7
"198" 105.047518084042 112.314873674082 7
"199" 103.716166809275 115.426631375366 7
"200" 109.763332477198 117.739324209069 7
"201" 111.230616909636 117.342168334494 7
"202" 109.26809498379 112.887722360837 7
"203" 109.403795899003 117.245164623646 7
"204" 105.279624582577 116.152862194404 7
"205" 110.611637086846 121.242305807282 7
"206" 105.005849993432 125.900585459275 7
"207" 105.109409614137 113.821108596572 7
"208" 108.85390427915 116.546601268344 7
"209" 116.22225150854 115.476989911713 7
"210" 109.70822608095 116.530006321845 7
"211" 114.953347238939 115.781443990877 7
"212" 105.141892765963 121.057971516149 7
"213" 108.450246332555 111.741587326233 7
"214" 109.823636704815 112.182143100936 7
"215" 111.018484398732 117.949628671431 7
"216" 108.363837024009 113.730151137275 7
"217" 114.780702315684 115.793558717296 7
"218" 110.432062622205 113.252324635566 7
"219" 112.193828554521 117.643357085316 7
"220" 102.873330110622 120.953763330878 7
"221" 110.733076654794 119.58453572566 7
"222" 107.583774228961 119.569577532033 7
"223" 110.315401027402 115.101371849357 7
"224" 110.278860312722 116.32262825862 7
"225" 112.762722267247 121.191058185985 7
"226" 108.801443264753 115.485577975941 7
"227" 107.357762501833 117.013823392272 7
"228" 113.687672884661 114.653474995679 7
"229" 108.41305597023 120.981451123312 7
"230" 110.247916540457 113.692455095676 7
"231" 108.541120884909 113.511059185318 7
"232" 109.95958258366 116.225076545791 7
"233" 110.065922907412 121.22216655756 7
"234" 56.039247483217 127.05677921542 7
"235" 56.8758398587513 125.987073172037 7
"236" 56.2393750691839 125.786845182578 7
"237" 55.7417749021602 126.067077489463 7
"238" 56.4296368076675 126.84298164969 7
"239" 55.5947314314872 129.732377149613 7
"240" 55.8733454891334 124.859535163346 7
"241" 55.3261866780309 128.799679888243 7
"242" 56.9916095213386 127.482764126269 7
"243" 56.1413783746773 129.781911547748 7
"244" 55.4084710711009 126.609147882584 7
"245" 55.5028281544758 128.329236751725 7
"246" 55.8181297890128 128.97206231446 7
"247" 56.1122660305674 126.972008418707 7
"248" 55.888369880976 127.06575347293 7
"249" 56.6160372992151 128.024130507378 7
"250" 56.1381315696297 128.068957240509 7
"251" 56.9013539688681 131.31903535178 7
"252" 55.8035012108416 127.58187025655 7
"253" 56.7440869433335 128.5458302179 7
"254" 57.0760126374356 126.898049576124 7
"255" 55.8499319543435 127.575552494629 7
"256" 56.2281904526751 127.107923939727 7
"257" 55.9231299546539 128.328203429098 7
"258" 56.1215914578441 128.193279029048 7
"259" 56.0773524185737 128.664126151618 7
"260" 55.7102145763413 128.77566726661 7
"261" 55.8468602774186 127.490835428437 7
"262" 56.3735915756725 129.659423998253 7
"263" 55.6410186109741 128.848455477759 7
"264" 55.9088419461421 128.366669721653 7
