[1] "distancias entre individuos calculadas"
[1] "epoca 1 de 50"
[1] "epoca 2 de 50"
[1] "epoca 3 de 50"
[1] "epoca 4 de 50"
[1] "epoca 5 de 50"
[1] "epoca 6 de 50"
[1] "epoca 7 de 50"
[1] "epoca 8 de 50"
[1] "epoca 9 de 50"
[1] "epoca 10 de 50"
[1] "epoca 11 de 50"
[1] "epoca 12 de 50"
[1] "epoca 13 de 50"
[1] "epoca 14 de 50"
[1] "epoca 15 de 50"
[1] "epoca 16 de 50"
[1] "epoca 17 de 50"
[1] "epoca 18 de 50"
[1] "epoca 19 de 50"
[1] "epoca 20 de 50"
[1] "epoca 21 de 50"
[1] "epoca 22 de 50"
[1] "epoca 23 de 50"
[1] "epoca 24 de 50"
[1] "epoca 25 de 50"
[1] "epoca 26 de 50"
[1] "epoca 27 de 50"
[1] "epoca 28 de 50"
[1] "epoca 29 de 50"
[1] "epoca 30 de 50"
[1] "epoca 31 de 50"
[1] "epoca 32 de 50"
[1] "epoca 33 de 50"
[1] "epoca 34 de 50"
[1] "epoca 35 de 50"
[1] "epoca 36 de 50"
[1] "epoca 37 de 50"
[1] "epoca 38 de 50"
[1] "epoca 39 de 50"
[1] "epoca 40 de 50"
[1] "epoca 41 de 50"
[1] "epoca 42 de 50"
[1] "epoca 43 de 50"
[1] "epoca 44 de 50"
[1] "epoca 45 de 50"
[1] "epoca 46 de 50"
[1] "epoca 47 de 50"
[1] "epoca 48 de 50"
[1] "epoca 49 de 50"
[1] "epoca 50 de 50"
[1] "evolTmp"
                  [,1]      [,2] [,3]  [,4] [,5]
   [40,]  25.466742350 306.88452    2    40    6
   [41,]  29.164868814 306.98207    2    41    3
   [42,]  24.347924273 307.13508    2    42    4
   [43,]  25.946902988 307.02079    2    43    5
   [44,]  28.124149455 306.49220    2    44    6
   [45,]  28.707068063 307.04709    2    45    4
   [46,]  23.935334302 307.18592    2    46    5
   [47,]  27.813883579 307.01706    2    47    4
   [48,]  27.969126764 306.85279    2    48    4
   [49,]  29.326010898 307.16378    2    49    5
   [50,]  26.178901112 306.66241    2    50    4
   [51,]  31.304129548 306.97302    2    51    4
   [52,]  29.283234992 306.62949    2    52    7
   [53,]  27.788190185 306.77906    2    53    5
   [54,]  29.555450013 306.99978    2    54    4
   [55,]  26.606771037 306.94855    2    55    4
   [56,]  31.896714725 306.77050    2    56    5
   [57,]  28.986619439 307.02162    2    57    4
   [58,]  29.339982909 307.01646    2    58    4
   [59,]  33.339431554 307.13982    2    59    3
   [60,]  29.824762940 307.00913    2    60    5
   [61,]  27.428032798 307.03469    2    61    4
   [62,]  29.029174610 306.58464    2    62    4
   [63,]  31.925859824 307.04812    2    63    6
   [64,]  24.022616643 306.90187    2    64    5
   [65,]  25.715557913 306.57174    2    65    5
   [66,]  26.460889604 306.61358    2    66    4
   [67,]  25.782798378 306.78788    2    67    5
   [68,]  28.925863618 307.00100    2    68    4
   [69,]  35.097950342 307.05926    2    69    7
   [70,]  31.197186660 307.10305    2    70    4
   [71,]  32.321294170 306.82948    2    71    4
   [72,]  29.903626355 306.62329    2    72    5
   [73,]  29.763397932 306.78024    2    73    5
   [74,]  32.987914922 306.98533    2    74    3
   [75,]  27.538042667 306.91418    2    75    5
   [76,]  26.686096306 306.79370    2    76    5
   [77,]  28.373277651 306.93579    2    77    6
   [78,]  27.195342251 306.82315    2    78    5
   [79,]  27.922704981 306.97540    2    79    4
   [80,]  36.231570676 306.84947    0    80    0
   [81,]  24.718005985 306.72213    2    81    4
   [82,]  32.212270472 306.68005    2    82    4
   [83,]  27.458965950 306.68216    2    83    4
   [84,]  32.660918710 307.07975    2    84    5
   [85,]  26.847186363 307.05734    2    85    5
   [86,]  26.874720898 306.76464    2    86    5
   [87,]  29.557227614 306.75437    2    87    5
   [88,]  27.476963194 307.26796    2    88    5
   [89,]  28.137517603 306.84245    2    89    5
   [90,]  28.691270980 307.14357    2    90    4
   [91,]  29.676406134 306.73125    2    91    6
   [92,]  27.902320297 306.80851    2    92    5
   [93,]  21.271288178 306.85421    2    93    9
   [94,]  29.090302228 306.57338    2    94    5
   [95,]  27.023519236 306.78247    2    95    6
   [96,]  27.113443217 306.60187    2    96    6
